ISBN10,Author,reviews_count,seller_name,Title,categories
9.78E+12,Viktor E. Frankl,38021,Amazon,Man's Search for Meaning,"[""Books"",""History"",""World""]"
080241270X,Gary Chapman,58827,Amazon,The 5 Love Languages: The Secret to Love that Lasts,"[""Books"",""Self-Help"",""Relationships""]"
9.78E+12,Viktor E. Frankl,38021,"Goodwill Goodstuff - Goodwill Industries of East Texas, Inc.",Man's Search for Meaning,"[""Books"",""History"",""World""]"
9.78E+12,Viktor E. Frankl,38021,2nd Life Books ✅,Man's Search for Meaning (OLD EDITION/OUT OF PRINT),"[""Books"",""History"",""World""]"
807047414,"by Dr. Robin DiAngelo (Author), Michael Eric Dyson (Foreword)",37817,Wyoming Book Company LLC,White Fragility: Why It's So Hard for White People to Talk About Racism,"[""Books"",""History"",""Americas""]"
807060100,Viktor E. Frankl,38021,worldofbooksinc,"Man's Search for Meaning, Gift Edition","[""Books"",""History"",""World""]"
807204773,Gary Paulsen,16012,Treasure Valley Books and Things,Hatchet,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
807220299,J.K. Rowling,31310,Bay State Book Company,Harry Potter and the Order of the Phoenix (Book 5),"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
807282324,J.K. Rowling,33749,Jersey's Deals,Harry Potter and the Prisoner of Azkaban (Book 3),"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
807282596,J.K. Rowling,31267,Crystal Frey,Harry Potter and the Goblet of Fire (Book 4),"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
9.78E+12,Maya Angelou,16235,-OnTimeBooks-,I Know Why the Caged Bird Sings,"[""Books"",""Literature & Fiction"",""History & Criticism""]"
081298160X,Charles Duhigg,18143,Happy Night Owl Books,The Power of Habit: Why We Do What We Do in Life and Business,"[""Books"",""Health, Fitness & Dieting"",""Psychology & Counseling""]"
812983459,Rachel Joyce,11120,Veteran-Outsource🎖,The Unlikely Pilgrimage of Harold Fry: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
9.78E+12,Bryan Stevenson,20515,-OnTimeBooks-,Just Mercy: A Story of Justice and Redemption,"[""Books"",""History"",""Americas""]"
081298840X,Paul KalanithiAbraham Verghese,22457,Luxifi,When Breath Becomes Air,"[""Books"",""Medical Books"",""Medicine""]"
812993543,Ta-Nehisi Coates,18421,Vivé Liber Books LLC,Between the World and Me,"[""Books"",""Politics & Social Sciences"",""Sociology""]"
812994523,Bryan Stevenson,20515,ReadCycle,Just Mercy: A Story of Justice and Redemption,"[""Books"",""History"",""Americas""]"
9.78E+12,Sadhguru,11245,Michael Raesler,Inner Engineering: A Yogi's Guide to Joy,"[""Books"",""Health, Fitness & Dieting"",""Alternative Medicine""]"
9.78E+12,Todd BurpoLynn Vincent,16897,HarryBat,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"[""Books"",""Self-Help"",""Relationships""]"
857197681,Morgan Housel,11867,Amazon,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness","[""Books"",""Business & Money"",""Investing""]"
857199099,Morgan Housel,11867,Amazon,"The Psychology of Money - hardback: Timeless lessons on wealth, greed, and happiness","[""Books"",""Business & Money"",""Economics""]"
811877825,Sherri Duskey RinkerTom Lichtenheld,16563,Vivé Liber Books LLC,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
811879542,Herve Tullet,11958,-OnTimeBooks-,"Press Here (Interactive Book for Toddlers and Kids, Interactive Baby Book) (Press Here by Herve Tullet)","[""Books"",""Children's Books"",""Early Learning""]"
812419537,Alex Haley,13577,Clearance Book Sales,The Autobiography of Malcolm X,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]"
894864025,Melody Beattie,12579,A & K Bookly,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,"[""Books"",""Self-Help"",""Relationships""]"
887431453,School Zone,56687,Amazon Warehouse,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)","[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
887431461,School Zone,12554,Amazon,"School Zone - Big Kindergarten Workbook - 320 Pages, Ages 5 to 6, Early Reading and Writing, Numbers 0-20, Basic Math, Matching, Story Order, and More (School Zone Big Workbook Series)","[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
088743147X,School Zone,13402,goodwill_ind_of_mid_tn,"School Zone - Big First Grade Workbook - 320 Pages, Ages 6 to 7, 1st Grade, Beginning Reading, Phonics, Spelling, Basic Math, Word Problems, Time, Money, and More (School Zone Big Workbook Series)","[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
887432719,School Zone,10216,Amazon,"School Zone - Go Fish Alphabet Game Cards - Ages 4 and Up, Preschool to First Grade, Uppercase and Lowercase Letters, ABCs, Word-Picture Recognition, Animals, Card Game, Matching, and More","[""Books"",""Children's Books"",""Animals""]"
875167349,Patrice Karst,14226,Amazon,The Invisible String,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
890425558,American Psychiatric Association,10487,serna623,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","[""Books"",""New, Used & Rental Textbooks"",""Medicine & Health Sciences""]"
920668364,Sheila McGraw,43247,-OnTimeBooks-,Love You Forever,"[""Books"",""Children's Books"",""Classics""]"
920668372,Sheila McGraw,43247,Amazon,Love You Forever,"[""Books"",""Children's Books"",""Classics""]"
956932304,Karen Inglis,11923,Blessed Book,The Secret Lake: A children's mystery adventure,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
091386613X,Arthur Edward Waite,18739,Amazon,The Rider Tarot Deck,"[""Books"",""Religion & Spirituality"",""New Age & Spirituality""]"
938256866,School Zone,16791,Amazon,"School Zone - Alphabet Flash Cards - Ages 3 and Up, Preschool, Letter-Picture Recognition, Word-Picture Recognition, Alphabet, and More","[""Books"",""Children's Books"",""Early Learning""]"
938256874,School Zone,14501,Amazon,"School Zone - Sight Words Flash Cards - Ages 5 and Up, Kindergarten to 1st Grade, Phonics, Beginning Reading, Sight Reading, Early-Reading Words, and More","[""Books"",""Education & Teaching"",""Schools & Teaching""]"
938256939,School Zone,22915,Amazon,"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts, Common Core, and More","[""Books"",""Children's Books"",""Education & Reference""]"
964729237,William P. Young,22171,LOT 27,The Shack: Where Tragedy Confronts Eternity,"[""Books"",""Christian Books & Bibles"",""Literature & Fiction""]"
964729245,William P. Young,22171,"GrandEagleRetailGrandEagleRetailDDV Books, CDs, DVDs and Records",The Shack,"[""Books"",""Christian Books & Bibles"",""Literature & Fiction""]"
964729288,by Wm. Paul Young (Author),22171,Bobbert's Books,The Shack,"[""Books"",""Christian Books & Bibles"",""Literature & Fiction""]"
991132394,Scarlett St. Clair,10700,Academic Book Solutions,"A Touch of Darkness (Hades X Persephone, 1)","[""Books"",""Science Fiction & Fantasy"",""Fantasy""]"
991243560,Pamela M. Kelley,14791,Jenson Books Inc,The Restaurant,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
997426586,Pierre Alex Jeanty,21038,My Corner BookstoreMy Corner BookstoreRich Media Direct,Her,"[""Books"",""Literature & Fiction"",""Poetry""]"
098641641X,Karen McQuestion,16547,Amazon,The Moonlight Child,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
9.78E+12,Zack Zombie,10062,Clean Earth Books,Diary of a Minecraft Zombie Book 1: A Scare of A Dare,"[""Books"",""Children's Books"",""Activities, Crafts & Games""]"
1075307945,Happy Toddlerz,10863,Amazon,"My Best Toddler Coloring Book - Fun with Numbers, Letters, Shapes, Colors, Animals: Big Activity Workbook for Toddlers & Kids","[""Books"",""Children's Books"",""Activities, Crafts & Games""]"
1075388651,Edwina Mc Namee,13505,Vivé Liber Books LLC,Stoner Coloring Book for Adults: The Stoner's Psychedelic Coloring Book,"[""Books"",""Comics & Graphic Novels"",""Graphic Novels""]"
999275801,Catherine V Holmes,13860,Amazon,How to Draw Cool Stuff: A Drawing Guide for Teachers and Students,"[""Books"",""Arts & Photography"",""Graphic Design""]"
1079520015,Jade Summer,13337,Amazon Warehouse,"100 Amazing Patterns: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages","[""Books"",""Arts & Photography"",""Graphic Design""]"
1099617200,Matthew R. Kratter,13067,Amazon,A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,"[""Books"",""Business & Money"",""Investing""]"
1101883081,Martha Hall Kelly,13104,Jenson Books Inc,Lilac Girls: A Novel (Woolsey-Ferriday),"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
110188424X,Diana Gabaldon,23889,Goodwill Michiana,Written in My Own Heart's Blood: A Novel (Outlander),"[""Books"",""Science Fiction & Fantasy"",""Fantasy""]"
1101903910,Chrissy Teigen,10229,Paper & Ink Co.,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,"[""Books"",""Cookbooks, Food & Wine"",""Quick & Easy""]"
1101904194,Ben Macintyre,12522,Amazon,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]"
1101904216,Ben Macintyre,12522,Momma's Media,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,"[""Books"",""History"",""Americas""]"
1101904240,Blake Crouch,13742,The BAP Goods,Dark Matter: A Novel,"[""Books"",""Literature & Fiction"",""Action & Adventure""]"
1101934182,Markus Zusak,31084,Rsksales,The Book Thief (Anniversary Edition),"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
9.78E+12,E L James,34483,tmjlbooks,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)","[""Books"",""Literature & Fiction"",""Women's Fiction""]"
1101947136,Yaa Gyasi,12636,EnlightenQuest,Homegoing: A novel,"[""Books"",""Literature & Fiction"",""United States""]"
1101965487,George R. R. Martin,36948,betterdeals2019betterdeals2019,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast for Crows / A Dance with Dragons (Song of Ice and Fire Series) (A Song of Ice and Fire),"[""Books"",""Literature & Fiction"",""Action & Adventure""]"
1101967706,John Grisham,13195,-OnTimeBooks-,The Rooster Bar: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
1101971061,Yaa Gyasi,12636,MjTreasuresCT,Homegoing,"[""Books"",""Literature & Fiction"",""United States""]"
109770467X,Smith John,10566,Amazon,Kindergarten writing paper with lines for ABC kids: 120 Blank handwriting practice paper with dotted lines,"[""Books"",""Children's Books"",""Education & Reference""]"
1101991062,Jim Butcher,16394,Amazon,Peace Talks (Dresden Files),"[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]"
1250147603,Elton John,18141,MjTreasuresCT,Me: Elton John Official Autobiography,"[""Books"",""Arts & Photography"",""Music""]"
1250147700,Monica Sweeney,22179,Jathal LLC,Zen as F*ck (Zen as F*ck Journals),"[""Books"",""Humor & Entertainment"",""Humor""]"
1250816424,Mariah Carey,11901,Savvy for four,The Meaning of Mariah Carey,"[""Books"",""Arts & Photography"",""Music""]"
1250158060,Michael Wolff,16687,JCK-ShopJCK-Shopgiggil,Fire and Fury: Inside the Trump White House,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]"
1250830745,V. E. Schwab,40949,Amazon,"The Invisible Life of Addie LaRue, Special Edition","[""Books"",""Literature & Fiction"",""Genre Fiction""]"
1250832365,Robert Jordan,13380,Amazon,"The Eye of the World: Book One of The Wheel of Time (Wheel of Time, 1)","[""Books"",""Literature & Fiction"",""Action & Adventure""]"
1250160510,Bill O'ReillyMartin Dugard,12684,Rich Media Direct,Killing Jesus: A History (Bill O'Reilly's Killing Series),"[""Books"",""History"",""World""]"
9.78E+12,Lois Lowry,22330,8 trax media,The Giver (25th Anniversary Edition): 25th Anniversary Edition (Giver Quartet),"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
125085055X,Brandon Sanderson,13862,Amazon,"Dawnshard (The Stormlight Archive, 5)","[""Books"",""Literature & Fiction"",""Action & Adventure""]"
1250164680,Mariah Carey,11901,Halfpastmidnight,The Meaning of Mariah Carey,"[""Books"",""Arts & Photography"",""Music""]"
1250166535,Brandon Sanderson,18070,Collect Musings,"Words of Radiance: Book Two of the Stormlight Archive (The Stormlight Archive, 2)","[""Books"",""Literature & Fiction"",""Action & Adventure""]"
9.78E+12,André Aciman,16661,Vivé Liber Books LLC,Call Me by Your Name: A Novel,"[""Books"",""LGBTQ+ Books"",""Literature & Fiction""]"
1250170974,Tomi Adeyemi,11663,IDEALalter,"Children of Blood and Bone (Legacy of Orisha, 1)","[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
1250178606,Kristin Hannah,84324,cratehog,The Four Winds: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
1250181909,Monica Sweeney,23817,Goodwill of North Georgia,Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),"[""Books"",""Humor & Entertainment"",""Humor""]"
1250182492,Hilary Mantel,10740,the_nps_store,"The Mirror & the Light: A Novel (Wolf Hall Trilogy, 3)","[""Books"",""Literature & Fiction"",""Genre Fiction""]"
9.78E+12,Jocko Willink,21179,Abundance Booksellers,Extreme Ownership: How U.S. Navy SEALs Lead and Win,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]"
125019623X,Leigh Bardugo,10449,Amazon,"The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising","[""Books"",""Teen & Young Adult"",""Science Fiction & Fantasy""]"
1328662055,Lori Gottlieb,15836,Bargain4You Used Books,"Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed","[""Books"",""Self-Help"",""Relationships""]"
1338596705,Minalima,12693,Amazon,"Harry Potter and the Sorcerer's Stone: MinaLima Edition (Harry Potter, Book 1) (Illustrated edition) (1)","[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
1338600834,Craig Smith,11973,Amazon,The Dinky Donkey,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
125020710X,Nora Roberts,12624,Jenson Books Inc,Hideaway: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
132885213X,Alice Schertle,12487,Goodwill Minnesota,"Good Night, Little Blue Truck","[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
1250209765,Jeanine Cummins,61053,Vivé Liber Books LLC,American Dirt (Oprah's Book Club): A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
1328869334,George Orwell,55581,Goodwill of North Georgia,1984,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
1328879941,Margaret Atwood,50377,book_mark,The Handmaid's Tale,"[""Books"",""Literature & Fiction"",""History & Criticism""]"
1338629182,"by Sandra Magsamen (Author, Illustrator)",45204,Amazon,I Love You to the Moon and Back (Made With Love),"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
1338635174,Suzanne Collins,44191,-OnTimeBooks-,The Ballad of Songbirds and Snakes (A Hunger Games Novel),"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
1250214718,Martha Wells,11614,Amazon,"All Systems Red: The Murderbot Diaries (The Murderbot Diaries, 1)","[""Books"",""Science Fiction & Fantasy"",""Science Fiction""]"
1250217288,TJ Klune,16912,Amazon,The House in the Cerulean Sea,"[""Books"",""LGBTQ+ Books"",""Literature & Fiction""]"
1250217318,TJ Klune,16912,Amazon,House in the Cerulean Sea,"[""Books"",""LGBTQ+ Books"",""Literature & Fiction""]"
1250220254,Liane Moriarty,23219,Amazon,Apples Never Fall,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
1250229537,Kristin Hannah,28824,Amazon,The Great Alone: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
9.78E+12,Bill O'ReillyMartin Dugard,10497,Jenson Books Inc,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]"
1338680455,Dav Pilkey,16099,Goodwill Industries of SWFL,Dog Man: Mothering Heights: A Graphic Novel (Dog Man #10): From the Creator of Captain Underpants (10),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
1250237092,Bill O'Reilly,10537,Clean Earth Books,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),"[""Books"",""History"",""Military""]"
1250237238,Edward Snowden,10545,-OnTimeBooks-,Permanent Record,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]"
1250027438,Leigh Bardugo,21976,Clean Earth Books,"Shadow and Bone (The Shadow and Bone Trilogy, 1)","[""Books"",""Teen & Young Adult"",""Science Fiction & Fantasy""]"
1338712764,Dav Pilkey,13965,goodwill_ind_of_mid_tn,Cat Kid Comic Club: A Graphic Novel (Cat Kid Comic Club #1): From the Creator of Dog Man,"[""Books"",""Children's Books"",""Animals""]"
1250031818,Kristin Hannah,13223,-OnTimeBooks-,Fly Away,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
1338732870,J. K. Rowling,14543,Amazon,The Ickabog,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
1338741039,Dav Pilkey,14570,Goodwill of Dayton Ohio,Dog Man: A Graphic Novel (Dog Man #1): From the Creator of Captain Underpants (1),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
1338741047,Dav Pilkey,13893,Seattlegoodwill,Dog Man Unleashed: A Graphic Novel (Dog Man #2): From the Creator of Captain Underpants (2),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
1338741055,Dav Pilkey,13406,Seattlegoodwill,Dog Man: A Tale of Two Kitties: A Graphic Novel (Dog Man #3): From the Creator of Captain Underpants (3),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
1338741063,Dav Pilkey,13253,Seattlegoodwill,Dog Man and Cat Kid: A Graphic Novel (Dog Man #4): From the Creator of Captain Underpants (4),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
1338741071,Dav Pilkey,13336,Amazon,Dog Man: Lord of the Fleas: A Graphic Novel (Dog Man #5): From the Creator of Captain Underpants (5),"[""Books"",""Children's Books"",""Animals""]"
133874108X,Dav Pilkey,16165,Amazon,Dog Man: Brawl of the Wild: A Graphic Novel (Dog Man #6): From the Creator of Captain Underpants (6),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
125004443X,Leigh Bardugo,15703,Mortuus Books,"Siege and Storm (The Shadow and Bone Trilogy, 2)","[""Books"",""Teen & Young Adult"",""Science Fiction & Fantasy""]"
1250048672,James Bowen,11202,Daye Book House,A Street Cat Named Bob: And How He Saved My Life,"[""Books"",""Crafts, Hobbies & Home"",""Pets & Animal Care""]"
125026569X,Heather Morris,17630,Marc Massengale,Cilka's Journey,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
1250272610,Nora Roberts,17475,-OnTimeBooks-,"The Awakening: The Dragon Heart Legacy, Book 1 (The Dragon Heart Legacy, 1)","[""Books"",""Science Fiction & Fantasy"",""Fantasy""]"
1250272815,J. D. Robb,12138,California Book Bag,"Forgotten in Death: An Eve Dallas Novel (In Death, 53)","[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
1250272939,Nora Roberts,14289,gatecitybooks,Legacy: A Novel,"[""Books"",""Literature & Fiction"",""Women's Fiction""]"
1250297141,Brandon Sanderson,15704,Amazon,"Oathbringer: Book Three of the Stormlight Archive (The Stormlight Archive, 3)","[""Books"",""Literature & Fiction"",""Action & Adventure""]"
1250063167,Leigh Bardugo,14762,Amazon,"Ruin and Rising (The Shadow and Bone Trilogy, 3)","[""Books"",""Teen & Young Adult"",""Science Fiction & Fantasy""]"
1250301696,Alex Michaelides,92537,Vivé Liber Books LLC,The Silent Patient,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
125030170X,Alex Michaelides,92537,Tessie's Bookstore,The Silent Patient,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
1250303885,Jamie Oliver,15452,Nash Goods,5 Ingredients: Quick & Easy Food,"[""Books"",""Cookbooks, Food & Wine"",""Cooking Methods""]"
1250304458,Alex Michaelides,10242,gatecitybooks,The Maidens,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
1250066115,Michael Greger M.D. FACLMGene Stone,18231,kichoyproductions,How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]"
1250067057,Jocko WillinkLeif Babin,21179,SmilesStoreSmilesStoreYour Prime Store,Extreme Ownership: How U.S. Navy SEALs Lead and Win,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]"
1250069831,Liane Moriarty,17210,California Book Bag,Nine Perfect Strangers,"[""Books"",""Humor & Entertainment"",""Humor""]"
1250070740,Bill O'ReillyMartin Dugard,11654,Asset Accelerators LLC,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]"
125007181X,Jimmy Fallon,12823,Amazon,Your Baby's First Word Will Be DADA,"[""Books"",""Children's Books"",""Early Learning""]"
1250316774,Casey McQuiston,16738,LOT 27,"Red, White & Royal Blue: A Novel","[""Books"",""Literature & Fiction"",""United States""]"
1338099132,J.K. RowlingJack ThorneJohn Tiffany,35661,BestselloneBestselloneVMG Books & Media,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script","[""Books"",""Children's Books"",""Science Fiction & Fantasy""]"
1250076226,Atul Gawande,16305,gatecitybooks,Being Mortal: Medicine and What Matters in the End,"[""Books"",""Medical Books"",""Administration & Medicine Economics""]"
9.78E+12,Leigh Bardugo,18306,Bay State Book Company,"Six of Crows (Six of Crows, 1)","[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
1250076978,Leigh Bardugo,15438,Amazon,"Crooked Kingdom (Six of Crows, 2)","[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
1250080401,Kristin Hannah,80180,ZBK Books,The Nightingale: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
1250754739,Robert Jordan,13380,Amazon,"The Eye of the World: Book One of The Wheel of Time (Wheel of Time, 1)","[""Books"",""Literature & Fiction"",""Action & Adventure""]"
1250757304,Brandon Sanderson,27982,Amazon,"Rhythm of War: Book Four of The Stormlight Archive (The Stormlight Archive, 4)","[""Books"",""Literature & Fiction"",""Action & Adventure""]"
1250759668,Chris Whitaker,11312,Jenson Books Inc,We Begin at the End,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
1250770289,Elton John,18141,GoodwillBooks,Me,"[""Books"",""Arts & Photography"",""Music""]"
1250772907,Edward Snowden,10545,Alex BooksandMore,Permanent Record,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]"
1250773016,Orson Scott Card,15984,Goodwill of Orange County,"Ender's Game (The Ender Saga, 1)","[""Books"",""Science Fiction & Fantasy"",""Science Fiction""]"
1250773024,Orson Scott Card,15984,Amazon,"Ender's Game (The Ender Saga, 1)","[""Books"",""Science Fiction & Fantasy"",""Science Fiction""]"
1250773652,Bill O'Reilly,12831,-Bookworm-,Killing Crazy Horse: The Merciless Indian Wars in America (Bill O'Reilly's Killing Series),"[""Books"",""Biographies & Memoirs"",""Community & Culture""]"
133821666X,J. K. RowlingJack ThorneJohn Tiffany,35661,HarryBat,"Harry Potter and the Cursed Child, Parts One and Two: The Official Playscript of the Original West End Production: The Official Script Book of the Original West End Production","[""Books"",""Children's Books"",""Arts, Music & Photography""]"
1338216678,J. K. RowlingJack ThorneJohn Tiffany,35661,Kamimatech,"Arthur A. Levine Books Harry Potter and the Cursed Child, Parts One and Two: The Official Play script of the Original West End Production: The Official Script Book of the Original West End Production","[""Books"",""Children's Books"",""Arts, Music & Photography""]"
1250777887,Leigh Bardugo,21976,idaho_youth_ranch_books,"Shadow and Bone (The Shadow and Bone Trilogy, 1)","[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
1338230891,Scholastic,19545,Amazon,Super Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 800 Characters,"[""Books"",""Children's Books"",""Activities, Crafts & Games""]"
1338233580,"by Scholastic Teacher Resources (Author), Scholastic (Author)",12777,Amazon,Flash Cards: Sight Words,"[""Books"",""Education & Teaching"",""Schools & Teaching""]"
1250107814,Hans RoslingAnna Rosling RönnlundOla Rosling,11404,Vivé Liber Books LLC,Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think,"[""Books"",""Science & Math"",""Mathematics""]"
1338236571,Dav Pilkey,16165,-OnTimeBooks-,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
1338236598,Dav Pilkey,20160,goodwill_ind_of_mid_tn,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),"[""Books"",""Children's Books"",""Animals""]"
1250787572,Jamie Oliver,12413,Leo Pera,7 Ways: Easy Ideas for Every Day of the Week [American Measurements],"[""Books"",""Cookbooks, Food & Wine"",""Cooking by Ingredient""]"
1250787831,J. D. Robb,15737,indoobestsellers,"Faithless in Death: An Eve Dallas Novel (In Death, 52)","[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
1250114292,Brandon Stanton,16338,worldofbooksinc,Humans,"[""Books"",""Arts & Photography"",""Photography & Video""]"
125079076X,Jean Hanff Korelitz,10356,Amazon,The Plot: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
1250120950,Sally Hepworth,13267,Rich Media Direct,The Good Sister: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
1250122961,Nora Roberts,10850,Read All About It BooksRead All About It BooksLiquidationFactor,"Year One: Chronicles of The One, Book 1 (Chronicles of The One, 1)","[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
1250123046,Nora Roberts,10814,-OnTimeBooks-,"Rise of Magicks (Chronicles of The One, 3)","[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
1250123828,Hans RoslingAnna Rosling RönnlundOla Rosling,11404,Goodwill of Colorado,Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think,"[""Books"",""Science & Math"",""Mathematics""]"
1250130948,Greer HendricksSarah Pekkanen,11865,Vivé Liber Books LLC,The Wife Between Us: A Novel,"[""Books"",""Literature & Fiction"",""Women's Fiction""]"
1250132363,B.A. Paris,26475,Vivé Liber Books LLC,Behind Closed Doors: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
9.78E+12,Rachel Hollis,26448,Kelso's Media,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","[""Books"",""Christian Books & Bibles"",""Christian Living""]"
1250144051,Barbara O'Connor,10216,Amazon,Wish,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
1338323210,Dav Pilkey,24755,Great Time Books,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
1400030609,Walter Tevis,16251,Lanning Haas Books,The Queen's Gambit: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
1250145244,Louise Penny,21217,Momma's Media,"All the Devils Are Here (Chief Inspector Gamache Novel, 16)","[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]"
