ISBN10,Author,reviews_count,seller_name,Title,categories
62060619,Madeline Miller,31125,Goodwill of Colorado,The Song of Achilles,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
62060627,Madeline Miller,31125,Amazon,The Song of Achilles: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
014032724X,Gary Paulsen,16012,Learning with BooksLearning with BooksJenson Books Inc,Hatchet,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
60887966,Paulo Coelho,64522,TheWorldShopUSATheWorldShopUSA,The Alchemist - Gift Edition,"[""Books"",""Reference"",""Writing, Research & Publishing Guides""]"
62976583,Charlie Mackesy,87406,"Goodwill Industries - Big Bend, Inc.","The Boy, the Mole, the Fox and the Horse","[""Books"",""Comics & Graphic Novels"",""Graphic Novels""]"
9.78E+12,Liane Moriarty,10102,-OnTimeBooks-,The Last Anniversary: A Novel,"[""Books"",""Literature & Fiction"",""Dramas & Plays""]"
62073478,Agatha Christie,16752,California Book Bag,And Then There Were None (Agatha Christie Mysteries Collection (Paperback)),"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
62073486,Agatha Christie,16752,-OnTimeBooks-,And Then There Were None,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
62981951,Frances Hodgson Burnett,10041,glenthebookseller,The Secret Garden,"[""Books"",""Children's Books"",""Literature & Fiction""]"
62563297,Bernard Cornwell,11275,MollyinTexas,"War Lord: A Novel (Saxon Tales, 13)","[""Books"",""Literature & Fiction"",""Genre Fiction""]"
60935464,Harper Lee,53270,Jenson Books Inc.,To Kill a Mockingbird,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
62654195,Kate Quinn,18709,Jenson Books Inc,The Alice Network: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
62667580,Liv Constantine,12379,VivA Liber Books LLC,The Last Mrs. Parrish: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
62667645,Rumaan Alam,11464,Luxifi,Leave the World Behind: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
63040514,Veronica Roth,29549,glenthebookseller,"Divergent 10th Anniversary Edition (Divergent Series, 1)","[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
63040522,Veronica Roth,19489,big_river_books,"Insurgent Anniversary Edition (Divergent Series, 2)","[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
63040530,Veronica Roth,22362,Housing Works Online Bookstore,"Allegiant Anniversary Edition (Divergent Series, 3)","[""Books"",""Teen & Young Adult"",""Literature & Fiction""]"
63045982,J. D. Vance,27096,DTXMARKETSDTXMARKETSGREENWORLD BOOKS,Hillbilly Elegy [movie tie-in]: A Memoir of a Family and Culture in Crisis,"[""Books"",""Biographies & Memoirs"",""Historical""]"
